iter	MultiRMSE
0	0.008036276689
1	0.008034657627
2	0.008033460644
3	0.00803291414
4	0.008031908695
5	0.008031254274
6	0.008030806459
7	0.008029816068
8	0.008028285294
9	0.008027188742
10	0.008025932489
11	0.008024675348
12	0.008023547216
13	0.008022255783
14	0.008021926054
15	0.008021025181
16	0.008020082663
17	0.008019138767
18	0.008017637086
19	0.008016442958
20	0.008015500247
21	0.008014071718
22	0.008013463352
23	0.008012282854
24	0.008011433701
25	0.00801003296
26	0.008009566099
27	0.008008403977
28	0.008006448515
29	0.008005078402
30	0.008004016727
31	0.008003012683
32	0.008001475574
33	0.007999796638
34	0.007998730882
35	0.007997539312
36	0.00799644184
37	0.007995974496
38	0.007995540515
39	0.007994877876
40	0.007994392049
41	0.007992573092
42	0.007990751199
43	0.007989833847
44	0.007988599144
45	0.007987956346
46	0.00798693059
47	0.007985755841
48	0.00798400698
49	0.007983447737
50	0.007981662699
51	0.007981200991
52	0.007980714534
53	0.007979707012
54	0.007978103302
55	0.007976907657
56	0.00797626196
57	0.007975450738
58	0.007974646949
59	0.007973505343
60	0.007972861529
61	0.007972207593
62	0.007971314783
63	0.007970492968
64	0.007969487846
65	0.007969050833
66	0.007968050078
67	0.007966966576
68	0.007965994345
69	0.007965490577
70	0.00796496842
71	0.007963974568
72	0.007962712608
73	0.007961005433
74	0.007960335123
75	0.00795906585
76	0.007958607545
77	0.007957503754
78	0.007956475405
79	0.007955282309
80	0.007954795503
81	0.007954240938
82	0.007954027379
83	0.007953614377
84	0.007952455513
85	0.007951970056
86	0.007951317202
87	0.007950164203
88	0.007949207458
89	0.007948075023
90	0.007947221989
91	0.007946322892
92	0.007945600764
93	0.007944448547
94	0.007943634033
95	0.007942566146
96	0.00794186679
97	0.007940903759
98	0.007940096231
99	0.007939309807
100	0.007938192483
101	0.007937190573
102	0.007936471946
103	0.007935628049
104	0.007934149038
105	0.007933288354
106	0.007932078929
107	0.007931299956
108	0.007930328553
109	0.00792909828
110	0.007928754003
111	0.007928106692
112	0.007927690598
113	0.007927203399
114	0.007925977062
115	0.007925149954
116	0.007924608049
117	0.007923826348
118	0.00792316224
119	0.007922514337
120	0.007921863305
121	0.007921193102
122	0.00792067626
123	0.007919843814
124	0.007918882664
125	0.007917776204
126	0.007916500995
127	0.00791529565
128	0.007914359635
129	0.00791358896
130	0.007913019145
131	0.007912664764
132	0.007911897405
133	0.007911508348
134	0.007910777521
135	0.007909699866
136	0.00790885247
137	0.007907856607
138	0.007907313182
139	0.00790633611
140	0.007905252269
141	0.007904552724
142	0.007903830862
143	0.00790327142
144	0.007902318468
145	0.007901835239
146	0.007901084927
147	0.007900217094
148	0.007899092499
149	0.007898568091
150	0.007897516815
151	0.007896282774
